Hotel,Locality,Downtown(km),Rating,Price(₹),Link
The York Legacy Hotel - 2 Minutes Walk From New Delhi Railway Station,"Paharganj, New Delhi (Chandni Chowk)",Downtown,10.0,1700,https://www.booking.com/hotel/in/the-york-legacy.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-08&checkout=2025-05-09&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=d8212f34b8f70c05&srepoch=1746600175&all_sr_blocks=1394933001_411411260_2_0_0_913235&highlighted_blocks=1394933001_411411260_2_0_0_913235&matching_block_id=1394933001_411411260_2_0_0_913235&sr_pri_blocks=1394933001_411411260_2_0_0_913235_170000&from=searchresults
The Leela Ambience Convention Hotel Delhi,New Delhi,3.8 km from downtown,8.6,6650,https://www.booking.com/hotel/in/the-leela-ambience-convention-hotel-delhi.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-08&checkout=2025-05-09&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=d8212f34b8f70c05&srepoch=1746600175&all_sr_blocks=43487720_407121355_2_42_0_828781&highlighted_blocks=43487720_407121355_2_42_0_828781&matching_block_id=43487720_407121355_2_42_0_828781&sr_pri_blocks=43487720_407121355_2_42_0_828781_665000&from=searchresults
Novotel New Delhi Aerocity,"Aerocity, New Delhi (Aerocity)",11 km from downtown,7.8,8000,https://www.booking.com/hotel/in/novotel-new-delhi-aerocity.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-08&checkout=2025-05-09&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=d8212f34b8f70c05&srepoch=1746600175&all_sr_blocks=127933402_246099931_2_42_0&highlighted_blocks=127933402_246099931_2_42_0&matching_block_id=127933402_246099931_2_42_0&sr_pri_blocks=127933402_246099931_2_42_0__800000&from_sustainable_property_sr=1&from=searchresults
Hyatt Regency Delhi,New Delhi,7.2 km from downtown,8.2,9450,https://www.booking.com/hotel/in/hyatt-regency-delhi.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-08&checkout=2025-05-09&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=d8212f34b8f70c05&srepoch=1746600175&all_sr_blocks=34266557_335375087_2_42_0&highlighted_blocks=34266557_335375087_2_42_0&matching_block_id=34266557_335375087_2_42_0&sr_pri_blocks=34266557_335375087_2_42_0__945000&from_sustainable_property_sr=1&from=searchresults
The Orion Express - East of Kailash,New Delhi,6.2 km from downtown,7.5,2924,https://www.booking.com/hotel/in/the-orion-express.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-08&checkout=2025-05-09&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=d8212f34b8f70c05&srepoch=1746600175&all_sr_blocks=1220152001_409278671_2_2_0&highlighted_blocks=1220152001_409278671_2_2_0&matching_block_id=1220152001_409278671_2_2_0&sr_pri_blocks=1220152001_409278671_2_2_0__292435&from=searchresults
Bloom Hotel - GK2,New Delhi,8 km from downtown,7.2,4320,https://www.booking.com/hotel/in/bloom-greater-kailash-2-new-delhi.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-08&checkout=2025-05-09&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=d8212f34b8f70c05&srepoch=1746600175&all_sr_blocks=1103341701_397121249_2_2_0&highlighted_blocks=1103341701_397121249_2_2_0&matching_block_id=1103341701_397121249_2_2_0&sr_pri_blocks=1103341701_397121249_2_2_0__432000&from=searchresults
Hotel Zion Plus,"Chanakyapuri, New Delhi",5.8 km from downtown,7.2,1255,https://www.booking.com/hotel/in/north-loctus.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-08&checkout=2025-05-09&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=d8212f34b8f70c05&srepoch=1746600175&all_sr_blocks=1405827201_412376877_2_1_0&highlighted_blocks=1405827201_412376877_2_1_0&matching_block_id=1405827201_412376877_2_1_0&sr_pri_blocks=1405827201_412376877_2_1_0__125500&from=searchresults
HOTEL Nysha A Family Hotel Near IGI Airport Delhi,New Delhi,11.9 km from downtown,7.2,809,https://www.booking.com/hotel/in/mataiya.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-08&checkout=2025-05-09&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=d8212f34b8f70c05&srepoch=1746600175&all_sr_blocks=1407110101_412486743_2_1_0&highlighted_blocks=1407110101_412486743_2_1_0&matching_block_id=1407110101_412486743_2_1_0&sr_pri_blocks=1407110101_412486743_2_1_0__80910&from=searchresults
Hotel Peace - 5 Mins Away From US Embassy,"Chanakyapuri, New Delhi",5 km from downtown,9.5,1459,https://www.booking.com/hotel/in/peace-new-delhi.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-08&checkout=2025-05-09&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=d8212f34b8f70c05&srepoch=1746600175&all_sr_blocks=1406419701_412429120_2_0_0&highlighted_blocks=1406419701_412429120_2_0_0&matching_block_id=1406419701_412429120_2_0_0&sr_pri_blocks=1406419701_412429120_2_0_0__145900&from=searchresults
Hotel GMT Green,"Chanakyapuri, New Delhi",5.8 km from downtown,9.5,1250,https://www.booking.com/hotel/in/gmt-green.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-08&checkout=2025-05-09&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=d8212f34b8f70c05&srepoch=1746600175&all_sr_blocks=1407105201_412486523_2_1_0&highlighted_blocks=1407105201_412486523_2_1_0&matching_block_id=1407105201_412486523_2_1_0&sr_pri_blocks=1407105201_412486523_2_1_0__125000&from=searchresults
