Source,Headline,Summary
The Indian Express,"MPBSE MP Board 10th 12th Result 2025, Mpbse.mponline.gov.in LIVE: Girls top MP board exams; direct link at education.indianexpress.com, mpresults.nic.in","Mpbse.mponline.gov.in, MPBSE MP Board 10th, 12th Class Result 2025 Direct Link at mpbse.nic.in Live Updates: To access their marksheets, students need to enter either their name or roll number on the official result portals -- mpbse.nic.in, mpbse.mponline.gov.in, and mpresults.nic.in. In addition to the MPBSE websites, the results are also available on education.indianexpress.com"
The Indian Express,"In a letter to PM Modi on caste census, Mallikarjun Kharge gives 3 suggestions","Mallikarjun Kharge pointed out that he had written to PM Modi in 2023, putting forward the Congress’s demand for an up-to-date caste census. The Congress leader said he had never received any reply."
The Indian Express,"IPL 2025 Playoff qualification: How can Mumbai Indians qualify for top-4 finish? Scenario, points table cut-off, match schedule","IPL 2025 Playoffs qualification: Here is what Mumbai Indians will need to qualify for the IPL playoffs with three matches remaining in the league stage against direct rivals Gujarat Titans, Punjab Kings and Delhi Capitals."
The Indian Express,Pahalgam Terror Attack Live Updates: UNSC members ask Pakistan ‘tough questions’ amid heightened tensions with India,"Pahalgam Terror Attack Live Updates: The MHA on Monday ordered that mock drills be conducted for civilians, among other measures, on May 7 to prepare for 'hostile attacks'."
The Indian Express,"Amarnath Yatra registrations surge in Chandigarh, Mohali despite Pahalgam terror attack","At the Mohali Phase 2 branch alone, more than 550 permits have been issued in just 15 days — a milestone that had taken nearly six weeks to reach in 2023."
The Indian Express,"Diljit Dosanjh parties in a limo with Shakira amid Met Gala, poses with Priyanka Chopra and Nick Jonas; answers ‘I am learning English’ when seen using Chatgpt","Shakira shared a video where she is seen giving a shoutout to Diljit Dosanjh as they travelled together in a limo to attend MET Gala 2025. He was later seen using ChatGPT and answered, 'I am learning English'."
The Indian Express,‘When Life Gives You Tangerines’ made me realise I’ve become my father,"Adulthood has a way of humbling you. Slowly, quietly, it makes you look into mirrors you’ve been avoiding. ""When Life Gives You Tangerines"" became one such mirror."
The Indian Express,"MP Board 10th 12th Result 2025, Mpresults.nic.in: How to check marks online at mpbse.nic.in, mpresults.nic.in, education.indianexpress.com?","Mpbse.nic.in, MP Board 10th 12th Result 2025 Direct Link at mpresults.nic.in: Students can check their MPBSE class 10th and 12th results by visiting the official website at mpbse.nic.in, education.indianexpress.com"
The Indian Express,"IPL 2025 Today Match, MI vs GT Predicted Playing 11 LIVE Updates: Mumbai, Gujarat clash at Wankhede in Playoffs spot bid; Rabada in focus","IPL 2025 Today Match, MI vs GT Team Predicted Playing 11, Players List, Points Table, Orange Cap, Purple Cap Live Updates: Follow all the action as Mumbai Indians faces Gujarat Titans at the Wankhede Stadium in Mumbai on Tuesday evening."
The Indian Express,"MP Board Bhopal 10th 12th Result 2025: Websites to check – mpbse.nic.in, mpresults.nic.in, education.indianexpress.com","MP Board Bhopal 10th 12th Sarkari Result 2025 Link at mpresults.nic.in, mpbse.nic.in: The Madhya Pradesh Board officials released the MP Board class 10th and 12th results 2025 online. The students can check their MP Board 12th result through the official MPBSE website mpbse.nic.in using their credentials."
The Indian Express,Book on Bengaluru bus stories released to showcase public transport in positive light,"Volunteers read out anecdotes at the launch of Bengalurina Bussina Kathegalu, a collection of stories of bus rides in Bengaluru, on Monday."
The Indian Express,"‘Work pressure, insomnia’: Telangana youth dies by suicide at AIIMS Raipur",AIIMS assistant public relations officer Dr Laxmikant C said the institute had never got a complaint from the deceased regarding work pressure.
The Indian Express,"‘What you resist, will persist’: Jagjit Dallewal’s message to Punjab CM as cops intensify crackdown to thwart farmers’ stir",Unions accuse the Punjab government of suppression as the police prevent farmers from reaching Shambu police station for the one-day protest.
The Indian Express,"Forged admit cards, proxy candidates: Another NEET scandal unravels in Bihar",Duo arrested from Samastipur following a tip-off during NEET 2025 exam on Sunday.
The Indian Express,"Karan Johar leaves out Priyanka Chopra as he hails Shah Rukh Khan, Diljit Dosanjh, Kiara Advani, Manish Malhotra’s MET looks","Karan Johar took to social media to give shout-outs to Shah Rukh Khan, Diljit Dosanjh, Manish Malhotra and Kiara Advani as they represented India at the MET Gala in New York."
The Indian Express,"Pradeep Dahiya appointed Gurgaon civic body commissioner days after row over waterlogging, advisor appointment",Gurgaon Municipal Corporation commissioner Ashok Garg has been posted as tthe Divisional Commissioner of Hisar.
The Indian Express,"NTA set to postpone CUET, new schedule to be announced today",Sources said that the NTA has informed the University Grants Commission (UGC) of its inability to conduct the examination as per the previously announced schedule. A meeting between NTA and the UGC will be held today to decide on a new examination schedule
The Indian Express,India-Pak water wars: A Jawaharlal Nehru and Mohd Ali Jinnah story,Cyril Radcliffe drew an earful from both leaders for suggesting running the Indus river-canal system as an Indo-Pak joint venture. That was his last attempt to solve what has remained a dispute that keeps flaring up
The Indian Express,Bangladesh’s former prime minister Khaleda Zia returns to country after treatment in UK,"After being discharged from the clinic, the BNP chairperson moved to her eldest son Tarique Rahman's residence, where she has been receiving treatment."
The Indian Express,Top 10 highest-grossing movies of all time: 2025 rankings and lifetime earnings revealed,"Top 10 best grossing films worldwide in 2025: Marvel Studios and James Cameron dominate the updated 2025 rankings, with Avatar, Avengers: Endgame, and Spider-Man: No Way Home among the top global earners."
The Indian Express,Yogendra Yadav writes: Caste census announcement is an opportunity to fine-tune reservation policy,"Once the debate shifts to the real issue of how, the first task would be to be vigilant about three matters"
The Indian Express,"At IITs, we train students in quantum physics — but not how to ask, ‘Are you okay?’","The IITs, for all their glory, are emotional deserts dressed up as intellectual oases"
The Indian Express,Indus Water Treaty has been unfair to India. Delhi should abrogate it,"Despite getting a good deal, Pakistan’s approach to IWT has been anything but cooperative. It has raised objections to every project conceived by India in J&K"
The Indian Express,"MPBSE MP Board Class 10th 12th Result 2025 (Out): Marksheet available at mpbse.nic.in, mpresults.nic.in, education.indianexpress.com","MP Board MPBSE 10th 12th Result 2025 Date, Time, Direct Link: The MPBSE class 10th and 12th results are released online on the official website. Once announced, students who appeared for the board exams can check and download their results by entering the necessary login credentials."
The Indian Express,MPBSE Board Result 2025: CM announces 2 board exams; know how to apply for revaluation to begin from May 6,"MP Board 10th and 12th Result Announced: Over 18 lakh Class 10 and Class 12 students registered for the MPBSE exams. Students can check their MP Board 10th and 12th Result 2025 on the official websites, mpresults.nic.in, mpbse.nic.in, and education.indianexpress.com."
NBC,Trump's call to reopen Alcatraz as a prison could be stymied by roadblocks,"Federal corrections experts and historians say rebuilding and reopening the prison may be ""symbolic"" to Trump, but any plan would be expensive and inefficient."
NBC,"EXCLUSIVE
Former DHS official targeted by Trump vows to fight president's 'revenge machine'
Miles Taylor said that his repeated warnings that Trump would turn the government into a ""revenge machine"" have proven to be accurate.
0 seconds of 2 minutes, 9 seconds
 Miles Taylor speaks out for first time as Trump administration accuses him of treason",A host of questions remain about how the president's plan to slap duties on foreign productions would work.
NBC,Met Gala celebrates historic 'Superfine: Tailoring Black Style' theme,"Zendaya, A$AP Rocky and Kim Kardashian were among the celebrities to pay homage to the fashion of Black dandyism from the early 1900s."
NBC,"Chaos at Newark Airport began with air traffic controllers losing communication with planes
Since the incident last Monday, delays and flight cancelations into and out of the travel hub have been constant.
Major delays wreaked havoc on weekend travel plans
0 seconds of 2 minutes, 39 seconds
 Frustration grows over ripple effects of delays at Newark Airport","The Barstool Sports founder, who is Jewish, said the motive behind the sign was ""just pure idiocy."""
NBC,"Netanyahu vows 'powerful' operation as Israel OKs plan to capture Gaza
Israel launches airstrikes on Yemen after Houthi rebels struck airport
Starvation looms as Israel's total blockade on Gaza enters its third month
0 seconds of 1 minute, 31 seconds
 Israel plans major shift in strategy to seize and hold territory in war against Hamas",The White House didn't respond to multiple questions about when the transition would disclose who funded it.
NBC," Sean 'Diddy' Combs tells judge, 'I’m a little nervous,' on first day of jury selection in his sex-trafficking trial
Prospective jurors received a list of locations and celebrities' names that could come up during trial and were asked what they knew about the case.
DIDDY ON TRIALWho will decide Diddy's fate?
What you need to know about the trial
Paras Griffin / Getty Images file","Tucker, one of the most accurate kickers in NFL history, has denied the misconduct allegations."
NBC,Dave Portnoy says he believes antisemitic sign at Philadelphia Barstool bar was intended as a joke,"Seen as a favorite to replace Pope Francis, Filipino Cardinal Luis Antonio Tagle gives hope to the country's LGBTQ population."
NBC,Trump has not said who funded his presidential transition effort despite pledge,"Retailers are turning the trade war into a sales event, encouraging shoppers to go on a buying spree before tariffs raise prices."
NBC,Ravens release Justin Tucker after massage therapists accuse him of misconduct,"Welcome to Starbase, Texas: A new city that is home to Elon Musk's SpaceX."
Times of India,'New threats': Harvard slams Trump administration over 'illegally withholding funding for lifesaving research',"Harvard University has strongly condemned the Trump administration’s decision to freeze federal research funding, calling it retaliation for a recent lawsuit and “illegal government overreach.” The university warned the move threatens vital scientific work and academic freedom. Education secretary Linda McMahon cited ethical and transparency concerns, escalating tensions over campus speech, diversity programs, and antisemitism at elite institutions."
Times of India,‘Sorry Karnataka’: Sonu Nigam apologises after ‘hurtful Kannada remarks’ at Bengaluru event,"Singer Sonu Nigam has publicly apologized to Karnataka's people following an FIR against him for allegedly making derogatory remarks about the Kannadiga community during a Bengaluru music event. The apology, which Sonu Nigam posted on Instagram, came after police issued a notice requiring the singer to appear for an investigation."
Times of India,Man caught transporting wife's body stuffed in gunny sack on scooter in Pune,"In Pune, a 28-year-old man was apprehended for transporting his wife's body on a scooter. Rakesh Nishar, a labourer, allegedly strangled his 26-year-old wife, Babita, after a domestic dispute at their Dhayari residence. Police intercepted Nishar in the Nanded City area early Tuesday morning, discovering the body concealed in a gunny sack"
Times of India,"'We have our eyes on everyone': Inform us if Pakistan blackmails you, Jaisalmer SP tells people living in border areas","Rajasthan police have heightened surveillance and awareness programs in border areas near defence establishments, coordinating with the BSF to prevent information leaks. SP Choudhary warned of strict legal action against anyone leaking information for money or under duress from across the border. A robust intelligence network is active, with civilians also providing information to maintain vigilance against potential threats."
Times of India,Can Trump sanctions on Russia force Putin's hand?,"Russia's economy, initially boosted by wartime spending, faces a slowdown with projected GDP growth halving to 2%. High interest rates and a strengthened ruble are impacting sectors like auto and construction. Potential US sanctions targeting countries trading with Russia, particularly China and India, add further uncertainty, despite efforts to circumvent restrictions through alternative payment systems."
Times of India,'How can you be a Hindu if you criticise Manusmriti?': Jyotirmath Shankaracharya justifies Rahul Gandhi's expulsion from Hinduism,"Jyotirmath Shankaracharya Swami Avimukteshwarananda Saraswati has reiterated his decision to ""excommunicate"" Congress MP Rahul Gandhi from Hinduism. This action stems from Gandhi's criticism of Manusmriti, which the Shankaracharya views as an insult to Sanatan Dharma. The seer argues that criticizing Manusmriti disqualifies one from being considered a Hindu, drawing parallels with other religions and their holy books"
Times of India,'Remove 50% cap on reservation': Congress chief Mallikarjun Kharge makes three suggestions to PM Modi on caste census,"Congress President Mallikarjun Kharge has urged Prime Minister Modi to conduct a nationwide caste enumeration as part of the upcoming census. Kharge suggested adopting the ""Telangana model"" for the questionnaire and amending the Constitution to eliminate the 50% reservation cap. He also advocated for the immediate implementation of Article 15(5) to extend reservations to private educational institutions."
Times of India,"'Made unwelcome physical contact': Families of IPS, I-T officers clash over seat at Diamond Box during RCB match in Bengaluru's Chinnaswamy Stadium","During an IPL match between RCB and CSK in Bengaluru, a heated dispute erupted in the Diamond Box between the families of a senior Indian Police Service officer and an income tax commissioner over their seating arrangements. The argument escalated, leading to allegations of intimidation, sexual harassment, and outraging modesty."
Times of India,Watch: ED sleuths pin down fleeing ex-Congress MLA Dharam Singh Chhokar outside Delhi hotel,"Enforcement Directorate (ED) officials apprehended former Haryana Congress MLA Dharam Singh Chhokar at Delhi's Shangri-La Hotel following a tip-off. Chhokar, wanted in connection with a Rs 363 crore money laundering case, attempted to flee, leading to a chase and scuffle. He was eventually arrested and remanded to six days of ED custody by a Gurgaon court."
Times of India,Moscow airports shut for second day after Ukraine's drone strike,"Moscow and surrounding regions faced a barrage of Ukrainian drone attacks, leading to temporary airport closures and prompting a response from Russian air defenses. At least 19 drones were reportedly destroyed near Moscow, with minor damage to a building. Other regions, including Voronezh and Pena, also reported drone interceptions, highlighting the continued conflict between the two nations."
Times of India,Pakistani hackers claim to have breached many Indian defence sites,"Cyber-attacks originating from Pakistan have escalated, targeting Indian defense entities. The website of Armoured Vehicles Nigam Limited (AVNL) was defaced, and hackers claim to have accessed sensitive data from the Military Engineering Services (MES) and MP-IDSA. Authorities are taking measures to bolster security, audit systems, and enhance digital defenses against further intrusions."
Times of India,First since 1971: MHA orders nationwide security drills to prepare for any attack,"Amid rising tensions with Pakistan, the Indian government has directed all states and Union Territories to conduct civil defence drills on Wednesday across 244 designated districts. This exercise aims to evaluate and enhance the preparedness of civil defence mechanisms against potential hostile attacks, evoking memories of past conflicts."
Times of India,Hegseth orders 20% cut in senior generals across the Pentagon,"The Donald Trump administration is rapidly reshaping the United States military and intelligence apparatus, with Defense Secretary Pete Hegseth directing significant cuts to top-ranking officers. These reductions, impacting all military branches and intelligence agencies, aim to reduce the federal government's size and align leadership with the administration's national security agenda."
Times of India,"India prepares dams to store more water, lines up to choke Pak","Following the suspension of the Indus Water Treaty, India has initiated flushing and desilting of reservoirs on the Chenab River to improve water storage for the winter months. This action is part of a broader strategy to regulate the flow of western rivers into Pakistan. India also plans to expedite hydropower projects and explore additional measures to maximize water utilization."
Times of India,India to soon get 2nd advanced stealth frigate built in Russia,"India's naval power is set to increase with the imminent commissioning of INS Tamala, a stealth frigate from Russia, following its sister ship INS Tushil. The Navy and DRDO successfully tested indigenous underwater mines, enhancing undersea warfare capabilities. These advanced Krivak-III class frigates, equipped with Brahmos missiles and other weapons, will bolster India's blue water operations."
Times of India,Pakistani hackers claim to have breached many Indian defence sites,"Cyber-attacks originating from Pakistan have escalated, targeting Indian defense entities. The website of Armoured Vehicles Nigam Limited (AVNL) was defaced, and hackers claim to have accessed sensitive data from the Military Engineering Services (MES) and MP-IDSA. Authorities are taking measures to bolster security, audit systems, and enhance digital defenses against further intrusions."
Times of India,Supreme Court: Trend of ED making allegations against accused without evidence,"The Supreme Court has raised concerns about the Enforcement Directorate (ED) making unsubstantiated allegations in money laundering cases, highlighting a pattern of lacking evidence to link accused individuals to proceeds of crime. This observation arose during a bail hearing for an accused in the Chhattisgarh liquor scam, where the court questioned the ED's evidence linking the accused to a specific amount of illicit funds."
Times of India,Watch: Israeli soldier’s viral gender reveal video; shouts 'It’s a boy' as blue smoke erupts,"Israeli soldiers sparked outrage after a video surfaced showing them destroying a building in Gaza for a 'gender reveal party,' celebrating the birth of a boy with blue smoke. This occurred amidst escalating military actions, including a controversial plan approved by Prime Minister Netanyahu to capture and control the entire Gaza Strip indefinitely, potentially displacing hundreds of thousands of Palestinians."
Times of India,NEET UG candidate walks out with OMR sheet from exam centre in Jhunjhunu; 2 invigilators suspended,"A NEET exam center in Jhunjhunu is under scrutiny after a student mistakenly left with an OMR sheet. The coordinator has demanded an explanation from the superintendent. This incident follows other irregularities in recent district exams, including a RAS pre-exam mishap and a violation of guidelines during an EO-RO recruitment test."
Times of India,Germany's Merz to launch new govt in times of Trump turbulence,"Friedrich Merz is poised to become Germany's chancellor, tasked with revitalizing the economy and strengthening the nation's global influence amidst rising far-right sentiments and strained transatlantic relations. His coalition government aims to support Ukraine and address domestic concerns like migration, while navigating a complex geopolitical landscape shaped by US President Trump's policies."
Times of India,'Mamata Banerjee is anti-Hindu': BJP MP Pratap Sarangi slams West Bengal CM,"BJP MP Pratap Chandra Sarangi has criticized West Bengal CM Mamata Banerjee, labeling her ""anti-Hindu"" and blaming her for societal divisions and communal violence in Murshidabad. Union Minister Giriraj Singh echoed these sentiments, accusing Banerjee of vote bank politics and delayed response to the Murshidabad unrest, alleging Hindu communities are unsafe under her governance."
Times of India,"Rape survivor, 5, made to wait 10 hours for medical test in UP; govt calls for action","Pilibhit district women's hospital faced scrutiny after a rape survivor waited long for medical examination. UP government intervened, directing Autonomous State Medical College doctors to handle medico-legal cases. A duty roster will be created. DNA samples were also found improperly stored. An abduction victim was referred to a distant facility despite available doctors."
Times of India,"Pahalgam attack: Putin agrees no compromise on terror, seeks action against perpetrators","Russian President Vladimir Putin, in a call with PM Modi, strongly condemned the Pahalgam terrorist attack, emphasizing the need to bring perpetrators and supporters to justice. This endorsement of India's stance comes amid international calls for de-escalation. Putin accepted Modi's invitation to visit India for the annual summit, reaffirming the strength and resilience of the India-Russia strategic partnership."
Times of India,Two Indian children missing as migrant boat capsizes in California leaving 3 dead,"A migrant boat capsized off the coast of San Diego, resulting in three fatalities, four injuries, and seven missing individuals. Among those affected is an Indian family, with two children still unaccounted for. The US Coast Guard is actively searching for the missing, while the Consulate General of India is providing assistance to the family."
Times of India,"'Agar tu nahi chala pa raha, toh hum chadha dete hain': Did co-passengers provoke Delhi Thar driver to run over security guard?","In Delhi, a security guard named Rajiv Kumar was intentionally run over by a Mahindra Thar after objecting to incessant honking. The driver, Vijay alias Lale, has been arrested, and the vehicle seized. Kumar suffered multiple fractures and is the sole provider for his family, now facing financial hardship due to his injuries and inability to work."
Times of India,'Ready to serve again': Gujarat women who served as home guard in 1971 India-Pakistan war,"Bhuj's women home guards, veterans of the 1971 war, are ready to serve again amid rising tensions. Jyotiben Upadhyay recalls patrolling streets during blackouts, comforting scared residents after Pakistani bombings. With recent terror attacks in Kashmir and escalating border tensions, these women are prepared to offer their services, even for desk jobs."
Times of India,New Zealand PM proposes banning under-16s from social media,"New Zealand's Prime Minister Christopher Luxon proposed a ban on social media for children under 16, aiming to shield them from online dangers. The draft laws would require social media companies to verify user ages or face substantial fines. This initiative mirrors Australia's stringent regulations and seeks to address parental concerns about social media's impact on children."
Times of India,SC allows DGP to oversee SIT in Badlapur death case,"The Supreme Court modified a Bombay High Court order, directing Maharashtra's DGP to supervise the SIT probing allegations against policemen in the Badlapur 'fake' encounter case. This case involves the custodial death of Akshay Shinde, accused of sexual assault. The SIT will be constituted by the DGP, who will select appropriate officers for the investigation, with the state CID required to hand over relevant documents within two days."
